https://www.iana.org/assignments/media-types/application/x-7z-compressed,7z
https://www.iana.org/assignments/media-types/text/csv,csv
https://www.iana.org/assignments/media-types/application/msword,doc
https://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.wordprocessingml.document,docx
https://www.iana.org/assignments/media-types/application/gzip,gz
https://www.iana.org/assignments/media-types/text/html,html
https://www.iana.org/assignments/media-types/image/jpeg,jpeg
https://www.iana.org/assignments/media-types/application/json,json
https://www.iana.org/assignments/media-types/application/pdf,pdf
https://www.iana.org/assignments/media-types/image/png,png
https://www.iana.org/assignments/media-types/application/x-rar-compressed,rar
https://www.iana.org/assignments/media-types/application/rdf+xml,rdf
https://www.iana.org/assignments/media-types/text/plain,txt
https://www.iana.org/assignments/media-types/application/wsdl+xml,wsdl
https://www.iana.org/assignments/media-types/application/vnd.ms-excel,xls
https://www.iana.org/assignments/media-types/application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,xlsx
https://www.iana.org/assignments/media-types/application/xml,xml
https://www.iana.org/assignments/media-types/application/zip,zip